"","host_species","betacov","pred_med"
"524","Murina leucogaster",0,0.841855671535069
"525","Murina puta",0,0.338224329992643
"526","Murina rozendaali",0,0.0382589887254877
"527","Murina ryukyuana",0,0.193344867305465
"528","Murina silvatica",0,0.492635499557815
"529","Murina suilla",0,0.0905668850841248
"530","Murina tenebrosa",0,0.259125758552684
"531","Murina tubinaris",0,0.570984080078013
"532","Murina ussuriensis",0,0.343250633297292
"533","Musonycteris harrisoni",0,0.0246997724426667
"534","Myonycteris brachycephala",0,0.0506550529905992
"535","Myonycteris relicta",0,0.256812977884288
"536","Myonycteris torquata",0,0.756917940906115
"537","Myopterus daubentonii",0,0.0834375365592925
"538","Myopterus whitleyi",0,0.0768212568994457
"539","Myotis abei",0,0.167352047827633
"540","Myotis adversus",0,0.3022510020056
"541","Myotis aelleni",0,0.00938176265749869
"542","Myotis albescens",0,0.273220437503008
"543","Myotis alcathoe",0,0.411197596296927
"544","Myotis altarium",0,0.875292791711192
"545","Myotis anjouanensis",0,0.0283827080579717
"546","Myotis annamiticus",0,0.0548336163039478
"547","Myotis annectans",0,0.55642901099715
"548","Myotis atacamensis",0,0.0143301265273097
"549","Myotis ater",0,0.072850319026192
"550","Myotis auriculus",0,0.0637640881839234
"551","Myotis australis",0,0.428229105875023
"552","Myotis austroriparius",0,0.119164331920578
"553","Myotis bechsteinii",0,0.861859499042414
"554","Myotis blythii",0,0.935784227662329
"555","Myotis bocagii",0,0.65567318789474
"556","Myotis bombinus",0,0.704446482809735
"557","Myotis brandtii",0,0.930618171694207
"558","Myotis bucharensis",0,0.412387855145418
"559","Myotis californicus",0,0.19000730564097
"560","Myotis capaccinii",0,0.749484574746553
"561","Myotis chiloensis",0,0.0150768041747968
"562","Myotis chinensis",0,0.914535953491473
"563","Myotis ciliolabrum",0,0.426190657722698
"564","Myotis cobanensis",0,0.0136365627123201
"565","Myotis csorbai",0,0.24243103865497
"566","Myotis dasycneme",1,0.938569241579686
"567","Myotis daubentonii",1,0.93277059958462
"568","Myotis davidii",0,0.412073314534978
"569","Myotis dominicensis",0,0.0169804090496887
"570","Myotis elegans",0,0.0444811741606132
"571","Myotis emarginatus",1,0.878488969599186
"572","Myotis evotis",0,0.146231401752358
"573","Myotis fimbriatus",0,0.383600264096369
"574","Myotis findleyi",0,0.017537275411919
"575","Myotis formosus",0,0.961796569966613
"576","Myotis fortidens",0,0.0936741223807065
"577","Myotis frater",0,0.447006934889194
"578","Myotis gomantongensis",0,0.169325606670588
"579","Myotis goudoti",0,0.104272174883021
"580","Myotis grisescens",0,0.159986108710071
"581","Myotis hajastanicus",0,0.231350820426134
